T_Sys (K), T_Sample_Dif_Cool (K), T_Sample_Dif_Warm (K)
149.660581,8.147635,-11.375261
149.931011,8.136554,-11.390778
150.201441,8.116457,-11.406257
150.471872,8.096242,-11.424431
150.742302,8.092236,-11.439291
151.012733,8.083515,-11.463830
151.283163,8.072580,-11.471767
151.553594,8.061905,-11.494535
151.824024,8.043317,-11.506298
152.094454,8.020978,-11.516818
152.364885,8.009838,-11.541618
152.635315,7.995455,-11.550080
152.905746,7.978282,-11.560306
153.176176,7.966987,-11.583781
153.446607,7.953063,-11.591738
153.717037,7.936044,-11.608637
153.987467,7.924247,-11.617977
154.257898,7.906024,-11.626480
154.528328,7.877390,-11.649831
154.798759,7.857666,-11.653565
155.069189,7.841957,-11.662801
155.339620,7.831186,-11.675146
155.610050,7.815659,-11.691407
155.880480,7.798160,-11.693075
156.150911,7.780876,-11.702167
156.421341,7.767731,-11.720955
156.691772,7.756845,-11.725686
156.962202,7.739780,-11.741860
157.232633,7.719610,-11.743367
157.503063,7.696658,-11.754470
157.773493,7.679219,-11.765544
158.043924,7.662210,-11.776045
158.314354,7.645301,-11.779725
158.584785,7.633282,-11.786862
158.855215,7.620366,-11.794296
159.125646,7.603340,-11.805088
159.396076,7.586594,-11.808162
159.666507,7.569799,-11.814974
159.936937,7.552493,-11.825446
160.207367,7.539523,-11.829792
160.477798,7.526369,-11.834274
160.748228,7.498083,-11.839090
161.018659,7.475668,-11.844416
161.289089,7.458832,-11.849952
161.559520,7.447723,-11.846750
161.829950,7.434240,-11.858151
162.100380,7.417476,-11.867964
162.370811,7.400775,-11.874363
162.641241,7.384151,-11.872063
162.911672,7.367664,-11.879476
163.182102,7.356069,-11.877770
163.452533,7.341008,-11.886318
163.722963,7.312818,-11.886276
163.993393,7.296287,-11.892314
164.263824,7.285493,-11.895369
164.534254,7.269183,-11.895209
164.804685,7.252645,-11.902637
165.075115,7.236190,-11.900336
165.345546,7.232933,-11.902137
165.615976,7.222600,-11.896972
165.886406,7.206235,-11.892757
166.156837,7.196139,-11.886203
166.427267,7.189442,-11.880336
166.697698,7.186476,-11.876830
166.968128,7.176533,-11.877865
167.238559,7.163609,-11.868716
167.508989,7.147459,-11.870423
167.779419,7.143492,-11.862215
168.049850,7.137563,-11.854730
168.320280,7.127881,-11.847569
168.590711,7.124702,-11.846144
168.861141,7.113695,-11.845310
169.131572,7.092411,-11.839897
169.402002,7.087061,-11.834146
169.672432,7.081906,-11.823657
169.942863,7.072742,-11.817303
170.213293,7.069799,-11.815660
170.483724,7.062823,-11.806954
170.754154,7.047774,-11.799314
171.024585,7.038124,-11.797446
171.295015,7.031787,-11.786622
171.565445,7.030270,-11.785750
171.835876,7.017849,-11.771631
172.106306,7.006876,-11.775954
172.376737,7.005059,-11.766649
172.647167,7.003194,-11.765602
172.917598,6.995343,-11.758358
